TABLE_NAME                                                                                        COLUMN_NAME                                                                                       RDB$FIELD_POSITION    RDB$FIELD_TYPE    RDB$FIELD_SUB_TYPE    RDB$FIELD_LENGTH    
COUNTRY                                                                                           LOCATIONID                                                                                                         1                 8                     0                   4    
COUNTRY                                                                                           NAME                                                                                                               2                37                     0                  50    
COUNTRYNAME                                                                                       ID                                                                                                                 0                 8                     0                   4    
COUNTRYNAME                                                                                       NAME                                                                                                               1                37                     0                  50    
CURRENCY                                                                                          ID                                                                                                                 0                 8                     0                   4    
CURRENCY                                                                                          LOCATIONID                                                                                                         1                 8                     0                   4    
CURRENCY                                                                                          NAME                                                                                                               2                37                     0                  15    
CURRENCY                                                                                          DEFAULTCURRENCY                                                                                                    3                14                     0                   1    
CURRENCYRATE                                                                                      ID                                                                                                                 0                 8                     0                   4    
CURRENCYRATE                                                                                      LOCATIONID                                                                                                         1                 8                     0                   4    
CURRENCYRATE                                                                                      SOURCECURRENCYTYPEID                                                                                               2                 8                     0                   4    
CURRENCYRATE                                                                                      DESTINATIONCURRENCYTYPEID                                                                                          3                 8                     0                   4    
CURRENCYRATE                                                                                      RATE                                                                                                               4                10                     0                   4    
DAILYMENU                                                                                         ID                                                                                                                 0                 8                     0                   4    
DAILYMENU                                                                                         LOCATIONID                                                                                                         1                 8                     0                   4    
DAILYMENU                                                                                         SALEMATERIALCODE                                                                                                   2                 8                     0                   4    
DAILYMENU                                                                                         DATEACTIVE                                                                                                         3                12                     0                   4    
DAILYMENU                                                                                         MENUNAME                                                                                                           4                37                     0                  50    
DAILYMENU                                                                                         MENUTYPE                                                                                                           5                 7                     0                   2    
DAILYMENU                                                                                         BLOCKED                                                                                                            6                 8                     0                   4    
DAILYMENU                                                                                         NUM                                                                                                                7                 8                     0                   4    
DBREADPRINT                                                                                       ID                                                                                                                 0                 8                     0                   4    
DBREADPRINT                                                                                       PRINTSERVERNAME                                                                                                    1                37                     0                  30    
DBREADPRINT                                                                                       PRINTERNAME                                                                                                        2                37                     0                  20    
DBREADPRINT                                                                                       SETTINGVALUE                                                                                                       3               261                     1                   8    
DBVERSION                                                                                         DBVERSION                                                                                                          0                 8                     0                   4    
DBVERSION                                                                                         NUMDIGGITQTY                                                                                                       1                 8                     0                   4    
DBVERSION                                                                                         NUMDIGGITPRICE                                                                                                     2                 8                     0                   4    
DBVERSION                                                                                         PRICEMASK                                                                                                          3                37                     0                  10    
DBVERSION                                                                                         QTYMASK                                                                                                            4                37                     0                  10    
DBVERSION                                                                                         OVERCHARGECALCULATIONMETHOD                                                                                        5                14                     0                   1    
DBVERSION                                                                                         DBTYPE                                                                                                             6                14                     0                   1    
DBVERSION                                                                                         NEGATIVEQTYALLOWED                                                                                                 7                14                     0                   1    
DBVERSION                                                                                         MULTISTORAGEMODE                                                                                                   8                14                     0                   1    
DBVERSION                                                                                         DBSTATUS                                                                                                           9                14                     0                   1    
DBVERSION                                                                                         FIXPRICESTATUS                                                                                                    10                14                     0                   1    
DBVERSION                                                                                         FIFO                                                                                                              11                14                     0                   1    
DBVERSION                                                                                         SOLDRECIPEINGREDIENTSSTATUS                                                                                       12                14                     0                   1    
DBVERSION                                                                                         MAJORVERSION                                                                                                      13                 8                     0                   4    
DBVERSION                                                                                         MINORVERSION                                                                                                      14                 8                     0                   4    
DBVERSION                                                                                         MATERIALATTRIBUTESTATUS                                                                                           15                14                     0                   1    
DBVERSION                                                                                         BUILDVERSION                                                                                                      16                 8                     0                   4    
DBVERSION                                                                                         CHECKPRICETYPE                                                                                                    17                 8                     0                   4    
DBVERSIONDETAIL                                                                                   ID                                                                                                                 0                 8                     0                   4    
DBVERSIONDETAIL                                                                                   OBJECTTYPE                                                                                                         1                37                     0                  20    
DBVERSIONDETAIL                                                                                   NAME                                                                                                               2                37                     0                 100    
DBVERSIONDETAIL                                                                                   VERSIONNUM                                                                                                         3                 8                     0                   4    
DBVERSIONDETAIL                                                                                   FROMDATE                                                                                                           4                12                     0                   4    
DEBITBALANCE                                                                                      ID                                                                                                                 0                 8                     0                   4    
DEBITBALANCE                                                                                      LOCATIONID                                                                                                         1                 8                     0                   4    
DEBITBALANCE                                                                                      DBTYPE                                                                                                             2                 8                     0                   4    
DEBITBALANCE                                                                                      LOCATIONNAMEID                                                                                                     3                 8                     0                   4    
DEBITBALANCE                                                                                      DATESAVE                                                                                                           4                35                     0                   8    
DEBITBALANCE                                                                                      OPERATIONID                                                                                                        5                 8                     0                   4    
DEBITBALANCE                                                                                      USERNAMEID                                                                                                         6                 8                     0                   4    
DEBITBALANCE                                                                                      PARTNERNAMEID                                                                                                      7                 8                     0                   4    
DEBITBALANCE                                                                                      PARTNERLOACATIONNAMEID                                                                                             8                 8                     0                   4    
DEBITBALANCE                                                                                      PARTNERCONTACTNAMEID                                                                                               9                 8                     0                   4    
DEBITBALANCE                                                                                      SUMDEBIT                                                                                                          10                16                     1                   8    
DEBITBALANCE                                                                                      SALENUM                                                                                                           11                 8                     0                   4    
DEBITBALANCE                                                                                      SUMDEBITBALANCE                                                                                                   12                16                     1                   8    
DEBITBALANCE                                                                                      POS                                                                                                               13                37                     0                  10    
DEBITBALANCE                                                                                      LOCATIONNAMECARDCENTERID                                                                                          14                 8                     0                   4    
DEFERREDPAYMENT                                                                                   ID                                                                                                                 0                16                     1                   8    
DEFERREDPAYMENT                                                                                   LOCATIONID                                                                                                         1                 8                     0                   4    
DEFERREDPAYMENT                                                                                   PARTNERNUM                                                                                                         2                 8                     0                   4    
DEFERREDPAYMENT                                                                                   PARTNERLOCATIONNUM                                                                                                 3                 8                     0                   4    
DEFERREDPAYMENT                                                                                   PARTNERCONTACTNUM                                                                                                  4                 8                     0                   4    
DEFERREDPAYMENT                                                                                   SALENUM                                                                                                            5                 8                     0                   4    
DEFERREDPAYMENT                                                                                   SALEDATE                                                                                                           6                35                     0                   8    
DEFERREDPAYMENT                                                                                   DPSUM                                                                                                              7                16                     1                   8    
DEFERREDPAYMENT                                                                                   DATERETURN                                                                                                         8                12                     0                   4    
DEFERREDPAYMENT                                                                                   USERNAME                                                                                                           9                37                     0                  50    
DEFERREDPAYMENT                                                                                   OPERATIONTYPEID                                                                                                   10                 7                     0                   2    
DEFERREDPAYMENT                                                                                   DOCUMENTNUM                                                                                                       11                16                     1                   8    
DEFERREDPAYMENT                                                                                   DOCUMENTDATE                                                                                                      12                12                     0                   4    
DEFERREDPAYMENT                                                                                   DOCUMENTTYPE                                                                                                      13                37                     0                  20    
DEFERREDPAYMENT                                                                                   DBTYPE                                                                                                            14                 7                     0                   2    
DEFERREDPAYMENT                                                                                   LASTDELIVERYPRICESUM                                                                                              15                16                     1                   8    
DEFERREDPAYMENT                                                                                   AVGDELIVERYPRICESUM                                                                                               16                16                     1                   8    
DEFERREDPAYMENT                                                                                   DEFERREDPAYMENTNOTE1                                                                                              17                37                     0                  50    
DEFERREDPAYMENT                                                                                   DEFERREDPAYMENTNOTE2                                                                                              18                37                     0                  50    
DEFERREDPAYMENTTRANSACTION                                                                        ID                                                                                                                 0                16                     1                   8    
DEFERREDPAYMENTTRANSACTION                                                                        LOCATIONNAMEID                                                                                                     1                 8                     0                   4    
DEFERREDPAYMENTTRANSACTION                                                                        DATEPAYMENT                                                                                                        2                35                     0                   8    
DEFERREDPAYMENTTRANSACTION                                                                        PARTNERNAMEID                                                                                                      3                 8                     0                   4    
DEFERREDPAYMENTTRANSACTION                                                                        PARTNERLOCATIONNAMEID                                                                                              4                 8                     0                   4    
DEFERREDPAYMENTTRANSACTION                                                                        PARTNERCONTACTNAMEID                                                                                               5                 8                     0                   4    
DEFERREDPAYMENTTRANSACTION                                                                        USERID                                                                                                             6                 8                     0                   4    
DEFERREDPAYMENTTRANSACTION                                                                        SUMPAYED                                                                                                           7                16                     1                   8    
DEFERREDPAYMENTTRANSACTION                                                                        SUMDEFERREDPAYMENT                                                                                                 8                16                     1                   8    
DEFERREDPAYMENTTRANSACTION                                                                        OPERATIONTYPE                                                                                                      9                 7                     0                   2    
DEFERREDPAYMENTTRANSACTION                                                                        DOCUMENTNUM                                                                                                       10                16                     1                   8    
DEFERREDPAYMENTTRANSACTION                                                                        DOCUMENTDATE                                                                                                      11                12                     0                   4    
DEFERREDPAYMENTTRANSACTION                                                                        DOCUMENTTYPEID                                                                                                    12                 8                     0                   4    
DEFERREDPAYMENTTRANSACTION                                                                        SALENUM                                                                                                           13                 8                     0                   4    
DEFERREDPAYMENTTRANSACTION                                                                        SALEDATE                                                                                                          14                35                     0                   8    
DEFERREDPAYMENTTRANSACTION                                                                        NOTE                                                                                                              15                37                     0                  30    
DEFERREDPAYMENTTRANSACTION                                                                        PAYMENTDATE                                                                                                       16                12                     0                   4    
DEFERREDPAYMENTTRANSACTION                                                                        PAYEDDOCUMENTNUM                                                                                                  17                16                     1                   8    
DEFERREDPAYMENTTRANSACTION                                                                        PAYEDDOCUMENTSUM                                                                                                  18                16                     1                   8    
DEFERREDPAYMENTTRANSACTION                                                                        LASTDELIVERYPRICESUM                                                                                              19                16                     1                   8    
DEFERREDPAYMENTTRANSACTION                                                                        AVGDELIVERYPRICESUM                                                                                               20                16                     1                   8    
DEFERREDPAYMENTTRANSACTION                                                                        OPERATIONTYPEID                                                                                                   21                 7                     0                   2    
DEFERREDPAYMENTTRANSACTION                                                                        DEFERREDPAYMENTNOTE1                                                                                              22                37                     0                  50    
DEFERREDPAYMENTTRANSACTION                                                                        DEFERREDPAYMENTNOTE2                                                                                              23                37                     0                  50    
DEFERREDPAYMENTTRANSACTION                                                                        REPORTINGDATE                                                                                                     24                12                     0                   4    
DEFERREDPAYMENTTRANSACTION                                                                        MONEYFLOWUNITID                                                                                                   25                 8                     0                   4    
DEFERREDPAYMENTTRANSACTION                                                                        LOCATIONID                                                                                                        26                 8                     0                   4    
DEFERREDPAYMENTTRANSACTION                                                                        DBTYPE                                                                                                            27                 7                     0                   2    
DELIVERYBATCH                                                                                     ID                                                                                                                 0                16                     1                   8    
DELIVERYBATCH                                                                                     LOCATIONID                                                                                                         1                 8                     0                   4    
DELIVERYBATCH                                                                                     DELIVERYDATE                                                                                                       2                35                     0                   8    
DELIVERYBATCH                                                                                     STORAGEID                                                                                                          3                16                     1                   8    
DELIVERYBATCH                                                                                     MATERIALCODE                                                                                                       4                 8                     0                   4    
DELIVERYBATCH                                                                                     QTY                                                                                                                5                16                     1                   8    
DELIVERYBATCH                                                                                     PRICE                                                                                                              6                16                     1                   8    
DELIVERYTYPENAME                                                                                  ID                                                                                                                 0                 8                     0                   4    
DELIVERYTYPENAME                                                                                  DELIVERYTYPE                                                                                                       1                37                     0                  20    
DOCUMENTTYPE                                                                                      ID                                                                                                                 0                 8                     0                   4    
DOCUMENTTYPE                                                                                      LOCATIONID                                                                                                         1                 8                     0                   4    
DOCUMENTTYPE                                                                                      NAME                                                                                                               2                37                     0                  20    
DOCUMENTTYPENAME                                                                                  ID                                                                                                                 0                 8                     0                   4    
DOCUMENTTYPENAME                                                                                  DOCUMENTTYPE                                                                                                       1                37                     0                  20    
DONGLELEGALUSECHECK                                                                               ID                                                                                                                 0                 8                     0                   4    
DONGLELEGALUSECHECK                                                                               DONGLENUM                                                                                                          1                 8                     0                   4    
DONGLELEGALUSECHECK                                                                               APPID                                                                                                              2                 8                     0                   4    
DONGLELEGALUSECHECK                                                                               APPNAME                                                                                                            3                37                     0                  30    
EARNEST                                                                                           ID                                                                                                                 0                 8                     0                   4    
EARNEST                                                                                           LOCATIONID                                                                                                         1                 8                     0                   4    
EARNEST                                                                                           DBTYPE                                                                                                             2                 8                     0                   4    
EARNEST                                                                                           NUM                                                                                                                3                 8                     0                   4    
EARNEST                                                                                           LOCATIONNAMEID                                                                                                     4                 8                     0                   4    
EARNEST                                                                                           DATESAVE                                                                                                           5                35                     0                   8    
EARNEST                                                                                           USERNAMEID                                                                                                         6                 8                     0                   4    
EARNEST                                                                                           DATECLOSE                                                                                                          7                35                     0                   8    
EARNEST                                                                                           SALENUM                                                                                                            8                 8                     0                   4    
EARNEST                                                                                           SURCHARGESUM                                                                                                       9                16                     1                   8    
EARNEST                                                                                           FISCAL                                                                                                            10                14                     0                   1    
EARNEST                                                                                           PAYEDSUM                                                                                                          11                16                     1                   8    
EARNEST                                                                                           CANCELATIONSTATUS                                                                                                 12                14                     0                   1    
EARNESTCONTENT                                                                                    ID                                                                                                                 0                 8                     0                   4    
EARNESTCONTENT                                                                                    LOCATIONID                                                                                                         1                 8                     0                   4    
EARNESTCONTENT                                                                                    DBTYPE                                                                                                             2                 8                     0                   4    
EARNESTCONTENT                                                                                    NUM                                                                                                                3                 8                     0                   4    
EARNESTCONTENT                                                                                    MATERIALCODE                                                                                                       4                 8                     0                   4    
EARNESTCONTENT                                                                                    MATERIALNAMEID                                                                                                     5                 8                     0                   4    
EARNESTCONTENT                                                                                    UOMID                                                                                                              6                 8                     0                   4    
EARNESTCONTENT                                                                                    QTY                                                                                                                7                16                     1                   8    
EARNESTCONTENT                                                                                    PAYED                                                                                                              8                16                     1                   8    
EARNESTVALUE                                                                                      ID                                                                                                                 0                 8                     0                   4    
EARNESTVALUE                                                                                      LOCATIONID                                                                                                         1                 8                     0                   4    
EARNESTVALUE                                                                                      DBTYPE                                                                                                             2                 8                     0                   4    
EARNESTVALUE                                                                                      LOCATIONNAMEID                                                                                                     3                 8                     0                   4    
EARNESTVALUE                                                                                      DATESAVE                                                                                                           4                35                     0                   8    
EARNESTVALUE                                                                                      USERNAMEID                                                                                                         5                 8                     0                   4    
EARNESTVALUE                                                                                      EARNESTSUM                                                                                                         6                16                     1                   8    
EARNESTVALUE                                                                                      SALENUM                                                                                                            7                 8                     0                   4    
EARNESTVALUE                                                                                      DATECLOSE                                                                                                          8                35                     0                   8    
EARNESTVALUE                                                                                      PARTNERNUM                                                                                                         9                 8                     0                   4    
EARNESTVALUE                                                                                      PARTNERLOCATIONNUM                                                                                                10                 8                     0                   4    
EARNESTVALUE                                                                                      PARTNERCONTACTNUM                                                                                                 11                 8                     0                   4    
